Issue ID,Issue Type,Summary,Description,Epic Name,Parent ID,Story Points,Priority,Labels,Sprint
E13-S2,Story,"E13-S2 UAT Workshop und Fixes","Fachworkshop und priorisierte Korrekturen.",,E13,5,High,"finance-suite,uat,ap",S4
E14,Epic,"E14 Zahlungseingangs-Matching UI","AR Matching Worklist und Dialoge bereitstellen.","E14 Zahlungseingangs-Matching UI",,24,Highest,"finance-suite,p0,fibu-ar-03,phase1",S5
E14-S1,Story,"E14-S1 Worklist Unzugeordnete Zahlungen","Liste der nicht zugeordneten Zahlungen mit Filtern.",,E14,8,Highest,"finance-suite,p0,ar,matching,frontend",S5
E14-S2,Story,"E14-S2 Match Dialog","Vorschlagsbasiertes und manuelles Matching.",,E14,8,Highest,"finance-suite,p0,ar,matching",S5
E14-S3,Story,"E14-S3 Clearing buchen mit Audit","Clearing buchen und revisionssicher protokollieren.",,E14,8,Highest,"finance-suite,p0,ar,clearing,audit",S5
E15,Epic,"E15 Bankimport-Anbindung","Bankimport-Endpunkte in Matching integrieren.","E15 Bankimport-Anbindung",,17,High,"finance-suite,bank,matching",S5
E15-S1,Story,"E15-S1 CAMT/MT940 Anbindung","Importpfad an Matching anbinden.",,E15,8,High,"finance-suite,bank,camt,mt940",S5
E15-S2,Story,"E15-S2 Reprocess Flow","Fehlerhafte Importe neu verarbeiten.",,E15,5,High,"finance-suite,bank,reprocess",S5
E15-S3,Story,"E15-S3 Importprotokoll Korrelation","Importprotokoll mit Correlation-ID.",,E15,4,Medium,"finance-suite,bank,logging",S5
E16,Epic,"E16 Abschlussnahe Stabilisierung","Konfliktfaelle und Regression fuer AR/AP/GL.","E16 Abschlussnahe Stabilisierung",,10,High,"finance-suite,stabilization,phase1",S5
E16-S1,Story,"E16-S1 Konfliktfaelle Teil/Ueberzahlung","Sonderfaelle fachlich korrekt behandeln.",,E16,5,High,"finance-suite,ar,edge-cases",S5
E16-S2,Story,"E16-S2 Regressionstests AR AP GL","Regression ueber alle Kernprozesse.",,E16,5,High,"finance-suite,tests,regression",S5
E17,Epic,"E17 Abschluss-Kernreports","Trial Balance, Journal, OP Konsistenz fuer Abschluss.","E17 Abschluss-Kernreports",,20,Highest,"finance-suite,p0,reporting,phase1",S6
E17-S1,Story,"E17-S1 Trial Balance Konsolidierung","Trial Balance fachlich und technisch stabilisieren.",,E17,8,Highest,"finance-suite,p0,reporting,trial-balance",S6
E17-S2,Story,"E17-S2 Journal OP Konsistenzcheck","Abgleich Journal und OP Reports.",,E17,6,High,"finance-suite,reporting,consistency",S6
E17-S3,Story,"E17-S3 Drilldown Report zu Beleg","Drilldown von Bericht auf Belegdetail.",,E17,6,High,"finance-suite,reporting,drilldown",S6
E18,Epic,"E18 GoBD Retention WORM Nachweis","Retention/WORM und Verfahrensdoku prueffest machen.","E18 GoBD Retention WORM Nachweis",,15,Highest,"finance-suite,p0,gobd,compliance",S6
E18-S1,Story,"E18-S1 Technischer Retention WORM Nachweis","Nachweis und technische Konfiguration dokumentieren.",,E18,7,Highest,"finance-suite,p0,gobd,retention",S6
E18-S2,Story,"E18-S2 Verfahrensdoku Finance Update","Verfahrensdokumentation fuer Finance aktualisieren.",,E18,4,High,"finance-suite,p0,gobd,documentation",S6
E18-S3,Story,"E18-S3 Prueferpaket Abnahme-Set","Export- und Nachweispaket fuer Pruefer erstellen.",,E18,4,High,"finance-suite,p0,gobd,audit",S6
E19,Epic,"E19 GoLive Readiness","Cutover, Monitoring und Hypercare fuer Phase-1-GoLive.","E19 GoLive Readiness",,14,High,"finance-suite,golive,phase1",S6
E19-S1,Story,"E19-S1 Cutover und Rollback Plan","Durchfuehrbarer Cutover inkl. Rollback-Schritte.",,E19,5,High,"finance-suite,golive,operations",S6
E19-S2,Story,"E19-S2 Monitoring Dashboard Kernprozesse","Monitoring fuer AP/AR/GL/Audit Kernmetriken.",,E19,5,High,"finance-suite,monitoring,operations",S6
E19-S3,Story,"E19-S3 Hypercare Plan","2-Wochen Hypercare Setup und Incident-Routing.",,E19,4,Medium,"finance-suite,hypercare,operations",S6
