feed_id,status,analytic_id,note
weizenkleberfutter,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
weizenkleie,merged,weizenkleie_staerkerich_dlg2025,"DLG 2025 führt zwei Varianten: stärkereich (sidP 86; Ca 1,8; P 13,0; Na 0,5) und faserreich (sidP 86; Ca 1,4; P 13,0; Na 0,1). Werte nicht automatisch zusammengeführt."
weizengriesskleie,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
zitrustrester,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
feuchtmais_ccm,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
maiskleberfutter_siliert,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
maiskolben_mit_lieschen_lks,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
melasse_zuckerrohr,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
melasse_zuckerruebe,merged,melasse_zuckerruebe_dlg2025,
zuckerruebenvinasse,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
maissilage,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
grassilage_1_schnitt,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
grascobs_heissluftheu_1_schnitt,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
grascobs_heissluftheu_folgeschnitte,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
wiesen_belueftungsheu_1_schnitt,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
wiesen_belueftungsheu_folgeschnitte,no_analytic_match,,Kein Eintrag in LKV-Ernte-2025- oder DLG-Kraftfutter-Referenz-CSV
